venue_id,venue_key,display_name,city,state,opened,closed,date_precision,identity_status,source_basis,notes
VEN-000018,ball-arena,Ball Arena,Denver,CO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000019,baltimore-arena,Baltimore Arena,Baltimore,MD,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000020,barclays-center,Barclays Center,Brooklyn,NY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000021,barnhill-arena,Barnhill Arena,Fayetteville,AR,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000022,beard-eaves-memorial-coliseum,Beard-Eaves-Memorial Coliseum,Auburn,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000023,bob-devaney-sports-center,Bob Devaney Sports Center,Lincoln,NE,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000024,bok-center,BOK Center,Tulsa,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000025,bon-secours-wellness-arena,Bon Secours Wellness Arena,Greenville,SC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000026,bradley-center,Bradley Center,Milwaukee,WI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000027,bramlage-coliseum,Bramlage Coliseum,Manhattan,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000028,brendan-byrne-arena,Brendan Byrne Arena,East Rutherford,NJ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000029,breslin-center,Breslin Center,East Lansing,MI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000030,brewer-fieldhouse,Brewer Fieldhouse,Columbia,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000031,bridgestone-arena,Bridgestone Arena,Nashville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000032,bud-walton-arena,Bud Walton Arena,Fayetteville,AR,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000033,burr-gymnasium,Burr Gymnasium,Washington,DC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000034,caesars-superdome,Caesars Superdome,New Orleans,LA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000035,cameron-indoor-stadium,Cameron Indoor Stadium,Durham,NC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000036,capital-one-arena,Capital One Arena,Washington,DC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000037,carver-hawkeye-arena,Carver-Hawkeye Arena,Iowa City,IA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000038,cfe-arena,Addition Financial Arena,Orlando,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000039,charles-koch-arena,Charles Koch Arena,Wichita,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000040,charlotte-coliseum-1955,Charlotte Coliseum,Charlotte,NC,1955,,YEAR,RESEARCHED_SPLIT,Mecklenburg County historic-landmark history: original Charlotte Coliseum opened in 1955.,"Original Independence Boulevard building, later renamed Independence/Cricket/Bojangles Coliseum. Separate from the 1988 Hornets-era Coliseum."
VEN-000041,charlotte-coliseum-1988,Charlotte Coliseum,Charlotte,NC,1988,2005,YEAR,RESEARCHED_SPLIT,Charlotte athletics/Hornets history: the new Charlotte Coliseum was in use beginning in 1988.,Hornets-era Charlotte Coliseum. Separate physical building from the original 1955 Coliseum.
VEN-000042,chase-center,Chase Center,San Francisco,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000043,chi-health-center,CHI Health Center Omaha,Omaha,NE,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000044,chicago-stadium,Chicago Stadium,Chicago,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000045,cintas-center,Cintas Center,Cincinnati,OH,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000046,clark-hall,Clark Hall,Tuscaloosa,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000047,cole-field-house,Cole Field House,College Park,MD,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000048,coleman-coliseum,Coleman Coliseum,Tuscaloosa,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000049,colonial-life-arena,Colonial Life Arena,Columbia,SC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000050,convention-hall-kc,Convention Hall,Kansas City,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000051,crypto-com-arena,Crypto.com Arena,Los Angeles,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000052,cu-events-center,CU Events Center,Boulder,CO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000053,dean-smith-center,Dean Smith Center,Chapel Hill,NC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000054,dee-events-center,Dee Events Center,Ogden,UT,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000055,delta-center,Delta Center,Salt Lake City,UT,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000056,desert-financial-arena,Desert Financial Arena,Tempe,AZ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000057,dickies-arena,Dickies Arena,Fort Worth,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000058,donald-l-tucker-civic-center,Donald L. Tucker Civic Center,Tallahassee,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000059,e-a-diddle-arena,E.A. Diddle Arena,Bowling Green,KY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000060,enterprise-center,Enterprise Center,St. Louis,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000061,extramile-arena,ExtraMile Arena,Boise,ID,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000062,fedexforum,FedExForum,Memphis,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000063,fiserv-forum,Fiserv Forum,Milwaukee,WI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000064,florida-gymnasium,Florida Gym,Gainesville,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000065,footprint-center,Mortgage Matchup Center,Phoenix,AZ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000066,ford-field,Ford Field,Detroit,MI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000067,foster-auditorium,Foster Auditorium,Tuscaloosa,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000068,frank-erwin-center,Frank Erwin Center,Austin,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000069,freedom-hall,Freedom Hall,Louisville,KY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000070,gainbridge-fieldhouse,Gainbridge Fieldhouse,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000071,galen-center,Galen Center,Los Angeles,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000072,gallagher-iba-arena,Gallagher-Iba Arena,Stillwater,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000073,georgia-dome,Georgia Dome,Atlanta,GA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000074,golden-1-center,Golden 1 Center,Sacramento,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000076,greensboro-coliseum,Greensboro Coliseum,Greensboro,NC,,,,NCAA_VERIFIED,NCAA.com venue-hosting history: Greensboro Coliseum hosted all NCAA Tournament games played in Greensboro from 1974 through 2023.,VEN-000075 was retired before canonical migration because the city label 'Greensboro' had been mistaken for a physical venue. The 1980 Maryland-Tennessee NCAA game belongs to Greensboro Coliseum. VEN-000075 must never be reused.
VEN-000077,hearnes-center,Hearnes Center,Columbia,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000078,hec-edmundson-pavilion,Hec Edmundson Pavilion,Seattle,WA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000079,hilton-coliseum,Hilton Coliseum,Ames,IA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000080,hinkle-fieldhouse,Hinkle Fieldhouse,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000081,hoch-auditorium,Hoch Auditorium,Lawrence,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000082,honda-center,Honda Center,Anaheim,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000083,hoosier-dome,Hoosier Dome,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000084,hp-field-house,HP Field House,Orlando,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000085,hubert-h-humphrey-metrodome,Hubert H. Humphrey Metrodome,Minneapolis,MN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000086,huff-hall,Huff Hall,Champaign,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000087,humphrey-coliseum,Humphrey Coliseum,Starkville,MS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000088,imperial-arena,Imperial Arena,Nassau,BS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000089,indiana-farmers-coliseum,Indiana Farmers Coliseum,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000090,intrust-bank-arena,INTRUST Bank Arena,Wichita,KS,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000091,iowa-field-house,Iowa Field House,Iowa City,IA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000092,jefferson-hall,Jefferson Hall,Knoxville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000093,jenison-fieldhouse,Jenison Fieldhouse,East Lansing,MI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000094,jenny-craig-pavilion,Jenny Craig Pavilion,San Diego,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000095,jersey-mikes-arena,Jersey Mike's Arena,Piscataway,NJ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000096,jma-wireless-dome,JMA Wireless Dome,Syracuse,NY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000097,jon-m-huntsman-center,Jon M. Huntsman Center,Salt Lake City,UT,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000098,joyce-center,Joyce Center,South Bend,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000099,kemper-arena,Kemper Arena,Kansas City,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000100,kenney-gym,Kenney Gym,Champaign-Urbana,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000101,kenwood-armory,Kenwood Armory,Minneapolis,MN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000102,keyarena,KeyArena,Seattle,WA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000103,keybank-center,KeyBank Center,Buffalo,NY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000104,kfc-yum-center,KFC Yum! Center,Louisville,KY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000105,kingdome,Kingdome,Seattle,WA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000106,knoxville-ymca-gymnasium,Downtown YMCA,Knoxville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000107,kohl-center,Kohl Center,Madison,WI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000108,lahaina-civic-center,Lahaina Civic Center,Lahaina,HI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000109,legacy-arena,Legacy Arena,Birmingham,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000110,lenovo-center,Lenovo Center,Raleigh,NC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000111,liacouras-center,Liacouras Center,Philadelphia,PA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000112,liberty-arena,Liberty Arena,Lynchburg,VA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000113,little-caesars-arena,Little Caesars Arena,Detroit,MI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000114,little-hall,Little Hall,Tuscaloosa,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000115,ljvm-coliseum,LJVM Coliseum,Winston-Salem,NC,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000116,lloyd-noble-center,Lloyd Noble Center,Norman,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000117,long-beach-arena,Long Beach Arena,Long Beach,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000118,los-angeles-memorial-sports-arena,Los Angeles Memorial Sports Arena,Los Angeles,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000119,lubbock-municipal-coliseum,Lubbock Municipal Coliseum,Lubbock,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000120,lucas-oil-stadium,Lucas Oil Stadium,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000121,mabee-center,Mabee Center,Tulsa,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000122,mackey-arena,Mackey Arena,West Lafayette,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000123,madison-square-garden-1925,Madison Square Garden,New York,NY,1925,1968,YEAR,RESEARCHED_SPLIT,National Park Service: Madison Square Garden III operated 1925-1968.,"MSG III, Eighth Avenue between 49th and 50th Streets. Separate physical building from the current Garden."
VEN-000124,madison-square-garden-1968,Madison Square Garden,New York,NY,1968-02-11,,EXACT_START,RESEARCHED_SPLIT,New York Rangers official arena history: current Madison Square Garden opened 1968-02-11.,MSG IV/current Garden at Pennsylvania Plaza. Separate physical building from MSG III.
VEN-000125,market-square-arena,Market Square Arena,Indianapolis,IN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000126,mcarthur-court,McArthur Court,Eugene,OR,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000127,mckale-center,McKale Center,Tucson,AZ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000128,mcnichols-sports-arena,McNichols Sports Arena,Denver,CO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000129,memorial-coliseum-kentucky,Memorial Coliseum,Lexington,KY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit. | UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,VEN-000407 retired during shared-reference reconciliation after determining Memorial Coliseum (Lexington) and Memorial Coliseum are the same physical venue; VEN-000407 must not be reused.
VEN-000130,memorial-gymnasium,Memorial Gymnasium,Nashville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000131,memphis-pyramid,Memphis Pyramid,Memphis,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000132,mens-gymnasium-field-house,Men's Gymnasium / Field House,Fayetteville,AR,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000133,mgm-grand-garden-arena,MGM Grand Garden Arena,Las Vegas,NV,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000134,miami-arena,Miami Arena,Miami,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000135,michelob-ultra-arena,Michelob ULTRA Arena,Las Vegas,NV,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000136,mid-south-coliseum,Mid-South Coliseum,Memphis,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000137,mizzou-arena,Mizzou Arena,Columbia,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000138,moda-center,Moda Center,Portland,OR,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000139,mohegan-sun-arena,Mohegan Sun Arena,Uncasville,CT,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000140,moody-center,Moody Center,Austin,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000141,moody-coliseum,Moody Coliseum,Dallas,TX,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000142,mullett-arena,Mullett Arena,Tempe,AZ,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000143,municipal-auditorium-kc,Municipal Auditorium,Kansas City,MO,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit. | UCLA 2025-26 Media Guide year-by-year/footnote evidence; UCLA facility history; owner-authorized conference-tournament site reference for UCLA scope; NCAA official site evidence; institutional reciprocal/archival research as documented.,VEN-000410 retired during shared-reference reconciliation after determining Municipal Auditorium (Kansas City) and Municipal Auditorium are the same physical venue; VEN-000410 must not be reused.
VEN-000144,murphy-center,Murphy Center,Murfreesboro,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000145,mvp-arena,MVP Arena,Albany,NY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000146,myriad-convention-center,Myriad Convention Center,Oklahoma City,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000147,nassau-coliseum,Nassau Coliseum,Uniondale,NY,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000148,nationwide-arena,Nationwide Arena,Columbus,OH,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000149,neal-s-blaisdell-center,Neal S. Blaisdell Center,Honolulu,HI,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000150,neville-arena,Neville Arena,Auburn,AL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000151,new-gymnasium-florida,The New Gym,Gainesville,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000152,numerica-veterans-arena,Numerica Veterans Arena,Spokane,WA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000153,oakland-coliseum-arena,Oakland Coliseum Arena,Oakland,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000154,oconnell-center,O'Connell Center,Gainesville,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000155,old-gym,Old Gym,Nashville,TN,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000156,old-patton-gymnasium,Old Patton Gymnasium,Evanston,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000157,omni-coliseum,Omni Coliseum,Atlanta,GA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000158,orlando-arena,Orlando Arena,Orlando,FL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000159,palestra,Palestra,Philadelphia,PA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000160,patton-gymnasium,Patton Gymnasium,Evanston,IL,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000161,pauley-pavilion,Pauley Pavilion,Los Angeles,CA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000162,paycom-center,Paycom Center,Oklahoma City,OK,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
VEN-000163,pete-maravich-assembly-center,Pete Maravich Assembly Center,Baton Rouge,LA,,,,CURATED_SEED,Migration seed from existing curated school venue registries and/or owner-completed NCAA archival site audit.,
