source_program_key,venue_key,venue_id,canonical_name,aliases,city,state,venue_type,known_opened,known_closed,venue_date_precision,games_currently_assigned,first_assigned_game,last_assigned_game,relationship_type,relationship_start,relationship_end,relationship_date_precision,site_rule,source_basis,notes
ucf,devlin-fieldhouse,VEN-000695,Devlin Fieldhouse,,New Orleans,LA,,,,unknown,2,2002-11-30,2002-12-01,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: UNREGISTERED_OWNER_SUPPLIED_IDENTITY. Owner-supplied exact venue finding plus UCF event locality. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000695.
ucf,dickies-arena,VEN-000057,Dickies Arena,,Fort Worth,TX,,,,unknown,6,2021-03-11,2023-03-10,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=dickies-arena; research-base venue_id=VEN-000057. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000057.
ucf,don-haskins-center,VEN-000325,Don Haskins Center,,El Paso,TX,,,,unknown,1,2011-03-09,2011-03-09,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=don-haskins-center; research-base venue_id=VEN-000325. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000325.
ucf,edmunds-center,VEN-000690,Edmunds Center,,DeLand,FL,,,,unknown,3,1996-02-29,1996-03-02,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Official ASUN record book exact site; numeric global identity deferred. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000690.
ucf,education-gym-ucf,VEN-000691,Education Gym,,Orlando,FL,,,,unknown,83,1985-01-09,1991-02-23,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,"Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. UCF permanent-home chronology; same College of Education gym later renamed Eugene ""Torchy"" Clark Gymnasium. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000691."
ucf,fedexforum,VEN-000062,FedExForum,FedEx Forum,Memphis,TN,,,,unknown,10,2006-03-08,2019-03-15,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=fedexforum; research-base venue_id=VEN-000062. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000062.
ucf,flagler-gymnasium,VEN-000696,Flagler Gymnasium,,St. Augustine,FL,,,,unknown,2,2023-11-19,2023-11-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: NEW_VENUE_CANDIDATE. UCF institutional tournament evidence identifies Flagler Gymnasium; no accepted research-base global identity. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000696.
ucf,galactic-ballroom-moon-palace,VEN-000438,Galactic Ballroom at Moon Palace Resort,,Cancun,Quintana Roo,,,,unknown,2,2008-11-29,2008-11-30,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=galactic-ballroom-moon-palace; research-base venue_id=VEN-000438. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000438.
ucf,gsu-sports-arena,VEN-000692,GSU Sports Arena,,Atlanta,GA,,,,unknown,5,2001-02-28,2003-03-08,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Official ASUN record book plus Georgia State history exact site; numeric global identity deferred. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000692.
ucf,hp-field-house,VEN-000084,HP Field House,State Farm Field House,Orlando,FL,,,,unknown,7,2007-11-22,2025-12-23,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=hp-field-house; research-base venue_id=VEN-000084. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000084.
ucf,htc-center,VEN-000354,HTC Center,,Conway,SC,,,,unknown,3,2018-11-15,2018-11-18,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=htc-center; research-base venue_id=VEN-000354. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000354.
ucf,imperial-arena,VEN-000088,Imperial Arena,,Nassau,BS,,,,unknown,3,2011-11-24,2011-11-26,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=imperial-arena; research-base venue_id=VEN-000088. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000088.
ucf,jacksonville-memorial-coliseum,VEN-000489,Jacksonville Memorial Coliseum,,Jacksonville,FL,,,,unknown,6,1999-02-25,2000-03-04,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=jacksonville-memorial-coliseum; research-base venue_id=VEN-000489. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000489.
ucf,john-kresse-arena,VEN-000693,John Kresse Arena,,Charleston,SC,,,,unknown,2,1998-02-26,1998-02-27,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. Official ASUN record book exact site; numeric global identity deferred. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000693.
ucf,lakefront-arena,VEN-000367,Lakefront Arena,,New Orleans,LA,,,,unknown,1,1991-03-01,1991-03-01,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=lakefront-arena; research-base venue_id=VEN-000367. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000367.
ucf,madison-square-garden-1968,VEN-000124,Madison Square Garden,,New York,NY,,,,unknown,1,2017-03-28,2017-03-28,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=madison-square-garden-1968; research-base venue_id=VEN-000124. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000124.
ucf,mario-morales-coliseum,VEN-000502,Mario Morales Coliseum,,Guaynabo,PR,,,,unknown,3,2006-12-19,2006-12-21,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=mario-morales-coliseum; research-base venue_id=VEN-000502. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000502.
ucf,matthew-knight-arena,VEN-000306,Matthew Knight Arena,,Eugene,OR,,,,unknown,1,2023-03-19,2023-03-19,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=matthew-knight-arena; research-base venue_id=VEN-000306. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000306.
ucf,mckale-center,VEN-000127,McKale Center,,Tucson,AZ,,,,unknown,2,2005-12-19,2005-12-21,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=mckale-center; research-base venue_id=VEN-000127. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000127.
ucf,mgm-grand-garden-arena,VEN-000133,MGM Grand Garden Arena,,Las Vegas,NV,,,,unknown,2,2025-04-01,2025-04-03,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=mgm-grand-garden-arena; research-base venue_id=VEN-000133. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000133.
ucf,mississippi-coast-coliseum,VEN-000243,Mississippi Coast Coliseum,,Biloxi,MS,,,,unknown,1,1992-03-05,1992-03-05,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=mississippi-coast-coliseum; research-base venue_id=VEN-000243. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000243.
ucf,neal-s-blaisdell-center,VEN-000149,Neal S. Blaisdell Center,,Honolulu,HI,,,,unknown,2,2000-11-24,2000-11-25,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=neal-s-blaisdell-center; research-base venue_id=VEN-000149. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000149.
ucf,ocean-center,VEN-000482,Ocean Center,,Daytona Beach,FL,,,,unknown,4,2009-11-20,2025-11-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=ocean-center; research-base venue_id=VEN-000482. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000482.
ucf,oconnell-center,VEN-000154,O'Connell Center,Stephen C. O'Connell Center;Exactech Arena at the Stephen C. O'Connell Center,Gainesville,FL,,,,unknown,1,2023-03-15,2023-03-15,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=oconnell-center; research-base venue_id=VEN-000154. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000154.
ucf,orange-county-civic-center,VEN-000683,Orange County Civic Center,,Orlando,FL,,,,unknown,16,1984-11-30,1988-12-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_PHYSICAL_IDENTITY_COMPARISON. Research resolves Orange County Civic Center in Orlando; current-main physical comparison to Orlando Civic Center is deferred to serialized Implementation. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000683.
ucf,orlando-arena,VEN-000158,Orlando Arena,Amway Arena,Orlando,FL,,,,unknown,4,1989-02-04,1990-12-30,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=orlando-arena; research-base venue_id=VEN-000158. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000158.
ucf,redbird-arena,VEN-000369,Redbird Arena,,Normal,IL,,,,unknown,1,2017-03-20,2017-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=redbird-arena; research-base venue_id=VEN-000369. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000369.
ucf,rupp-arena,VEN-000181,Rupp Arena,,Lexington,KY,,,,unknown,1,1994-03-17,1994-03-17,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=rupp-arena; research-base venue_id=VEN-000181. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000181.
ucf,t-mobile-arena,VEN-000201,T-Mobile Arena,,Las Vegas,NV,,,,unknown,2,2025-04-05,2025-04-06,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=t-mobile-arena; research-base venue_id=VEN-000201. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000201.
ucf,t-mobile-center,VEN-000202,T-Mobile Center,,Kansas City,MO,,,,unknown,6,2024-03-12,2026-03-12,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=t-mobile-center; research-base venue_id=VEN-000202. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000202.
ucf,td-arena,VEN-000280,TD Arena,,Charleston,SC,,,,unknown,2,2016-11-17,2016-11-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=td-arena; research-base venue_id=VEN-000280. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000280.
ucf,the-venue-at-ucf,VEN-000694,The Venue at UCF,,Orlando,FL,,,,unknown,225,1991-11-30,2007-03-03,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: PENDING_CURRENT_MAIN_REBASE. UCF facility chronology resolves old UCF Arena era to The Venue at UCF; source name UCF Arena is date/era-sensitive and is not registered here as an unbounded alias. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000694.
ucf,utc-arena,VEN-000697,UTC Arena,,Chattanooga,TN,,,,unknown,2,1996-12-28,1996-12-29,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Historical identity: RESOLVED. Global registration: UNREGISTERED_OWNER_SUPPLIED_IDENTITY. Owner-supplied exact venue finding plus UCF event locality. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000697.
ucf,vystar-veterans-memorial-arena,VEN-000227,VyStar Veterans Memorial Arena,Jacksonville Veterans Memorial Arena,Jacksonville,FL,,,,unknown,2,2003-12-04,2008-12-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=vystar-veterans-memorial-arena; research-base venue_id=VEN-000227. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000227.
ucf,worcester-centrum,VEN-000234,Worcester Centrum,DCU Center,Worcester,MA,,,,unknown,1,2005-03-18,2005-03-18,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=worcester-centrum; research-base venue_id=VEN-000234. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000234.
ucf,xfinity-mobile-arena,VEN-000237,Xfinity Mobile Arena,,Philadelphia,PA,,,,unknown,1,2026-03-20,2026-03-20,,,,,Venue identity never establishes H/A/N; assignments were applied only after independent site classification.,Accepted UCF Stage 1-3B research; primary UCF institutional source plus bounded authoritative facility/event/postseason evidence.,Research physical identity: DEFINITE_RESEARCH_BASE_REUSE; research-base key=xfinity-mobile-arena; research-base venue_id=VEN-000237. Numeric venue_id remains blank; Implementation must rebase against then-current protected main. Integration rebase resolved final global venue ID VEN-000237.
